Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.3994311,15.52436974789916,0.4328411,0.5,0.5,0.14866434,0.23868942,0.00029697816,0.19899271,0.0004950643,1.0
20000,1.3832906,16.20812182741117,0.8534223,0.9055649241146712,0.9055649241146712,0.04641141,0.24532996,0.0002909442,0.1969814,0.00048520885,1.0
30000,1.3806452,10.82429245283019,0.9263486,0.9811097992916175,0.9811097992916175,0.013007716,0.24552718,0.0002850307,0.19501023,0.00047555007,1.0
40000,1.3713669,7.731643356643357,0.94563997,0.9842657342657343,0.9842657342657343,0.012582939,0.24382406,0.00027898003,0.19299334,0.00046566725,1.0
50000,1.3718249,6.54154078549849,0.96417063,0.9969811320754717,0.9969811320754717,0.0026327989,0.24083109,0.00027299288,0.19099765,0.0004558883,1.0
60000,1.3478255,6.014114326040931,0.9673786,0.9957657021877205,0.9957657021877205,0.0032308667,0.24328838,0.00026702296,0.18900762,0.00044613742,1.0
70000,1.3563019,6.125354107648725,0.9575095,0.9759206798866855,0.9759206798866855,0.011924744,0.24500974,0.0002610224,0.18700743,0.00043633644,1.0
80000,1.3526039,5.78682959945689,0.96812,0.9945689069925322,0.9945689069925322,0.0034437876,0.24904859,0.0002550236,0.18500786,0.00042653843,1.0
90000,1.3546339,5.751854349291976,0.9668235,0.9912221471978393,0.9912221471978393,0.0054453723,0.24150611,0.00024900658,0.18300219,0.0004167107,1.0
100000,1.350613,6.3111273792093705,0.9339589,0.9532163742690059,0.9532163742690059,0.023851415,0.2438484,0.00024299117,0.18099706,0.0004068855,1.0
110000,1.3414212,6.20086393088553,0.9402223,0.9611231101511879,0.9611231101511879,0.016106252,0.23404121,0.00023699207,0.17899734,0.00039708693,1.0
120000,1.3448489,5.562335958005249,0.9631495,0.9822834645669292,0.9822834645669292,0.00697117,0.24279796,0.00023101142,0.17700385,0.00038731858,1.0
130000,1.3469081,5.685828877005347,0.9665054,0.9879679144385026,0.9879679144385026,0.004179969,0.24015196,0.0002250172,0.1750057,0.00037752793,1.0
140000,1.3477383,5.503901170351106,0.9683865,0.9921976592977894,0.9921976592977894,0.0036353385,0.2411053,0.00021902446,0.17300816,0.0003677398,1.0
150000,1.3360119,5.608724388631857,0.9689026,0.9940515532055518,0.9940515532055518,0.0028231451,0.24112003,0.00021302186,0.17100726,0.0003579355,1.0
